empleado_id,fecha,hora_inicio,hora_fin,tipo_turno,ubicacion,notas
E007,2025-01-16,12:40,18:40,Mañana,Planta de Producción,
E033,2025-04-03,07:39,13:39,Libre,Planta de Producción,
E014,2024-07-17,19:59,02:59,Noche,Planta de Producción,
E026,2024-05-15,11:12,17:12,Mañana,Planta de Producción,
E028,2024-05-18,04:52,11:52,Libre,Oficina Remota,
E024,2024-07-22,03:44,11:44,Noche,Almacén,
E133,2024-07-21,11:40,18:40,Mañana,Oficina Remota,
E112,2025-02-24,18:37,00:37,Noche,Oficina Central,
E084,2024-12-24,20:01,02:01,Tarde,Almacén,
E150,2024-11-16,05:11,13:11,Noche,Oficina Central,
E015,2025-02-27,09:15,17:15,Mañana,Oficina Central,
E082,2025-02-07,19:17,01:17,Tarde,Almacén,
E135,2024-07-02,04:58,12:58,Noche,Oficina Remota,
E077,2024-11-25,08:34,15:34,Noche,Planta de Producción,
E058,2024-07-25,07:08,13:08,Tarde,Oficina Central,
E033,2025-01-15,22:02,04:02,Mañana,Almacén,
E053,2025-04-03,00:34,06:34,Noche,Planta de Producción,
E117,2024-10-07,09:53,16:53,Noche,Planta de Producción,
E090,2024-11-22,10:43,16:43,Tarde,Almacén,
E058,2024-10-07,14:14,20:14,Tarde,Planta de Producción,
E018,2025-02-08,23:14,05:14,Mañana,Planta de Producción,
E081,2024-11-14,02:49,08:49,Noche,Almacén,
E083,2024-09-01,08:42,15:42,Tarde,Almacén,
E039,2024-07-29,18:35,00:35,Libre,Oficina Central,
E056,2024-07-21,15:52,22:52,Tarde,Planta de Producción,
E068,2024-05-14,13:12,19:12,Noche,Almacén,
E139,2024-05-20,04:10,10:10,Tarde,Almacén,
E140,2024-12-01,21:40,03:40,Mañana,Planta de Producción,
E150,2024-09-30,09:10,15:10,Noche,Oficina Central,
E108,2025-02-04,23:08,07:08,Noche,Almacén,
E088,2024-09-28,11:59,17:59,Noche,Oficina Remota,
E124,2024-12-27,02:51,09:51,Noche,Oficina Remota,Numquam perferendis vel reprehenderit.
E146,2025-01-23,12:19,18:19,Noche,Almacén,
E147,2024-11-15,01:04,08:04,Tarde,Oficina Remota,
E097,2024-06-27,07:11,15:11,Libre,Oficina Remota,Id magnam dolor quaerat quo.
E129,2025-02-11,22:57,05:57,Libre,Almacén,
E024,2024-12-04,07:12,14:12,Noche,Oficina Remota,
E035,2024-12-13,11:27,19:27,Libre,Oficina Central,
E004,2025-03-01,21:55,05:55,Tarde,Oficina Remota,
E074,2024-05-24,06:47,12:47,Tarde,Oficina Remota,
E139,2024-12-10,17:18,23:18,Mañana,Planta de Producción,
E009,2025-04-21,08:49,16:49,Mañana,Almacén,
E032,2024-12-28,14:38,20:38,Mañana,Oficina Remota,
E021,2024-10-19,06:14,13:14,Tarde,Almacén,Iusto eum amet expedita mollitia.
E049,2024-06-14,21:58,05:58,Noche,Planta de Producción,
E131,2025-03-28,22:58,04:58,Noche,Almacén,
E121,2024-11-28,09:24,16:24,Noche,Oficina Central,
E108,2024-06-27,09:45,15:45,Tarde,Almacén,
E007,2024-07-10,09:46,15:46,Tarde,Planta de Producción,
E052,2024-09-02,10:10,18:10,Mañana,Oficina Central,
E099,2024-11-08,03:56,09:56,Noche,Almacén,
E132,2024-07-19,10:34,18:34,Tarde,Oficina Remota,
E049,2025-03-11,06:57,12:57,Tarde,Oficina Remota,
E004,2024-06-10,06:31,13:31,Tarde,Almacén,
E127,2025-03-02,20:51,04:51,Tarde,Oficina Remota,
E147,2025-01-10,20:56,04:56,Libre,Oficina Central,
E129,2024-10-12,17:19,01:19,Noche,Oficina Remota,Pariatur repellendus totam eligendi natus.
E052,2024-05-17,17:33,23:33,Noche,Almacén,
E076,2024-11-07,02:06,08:06,Noche,Almacén,
E042,2024-07-27,08:47,15:47,Libre,Planta de Producción,
E003,2024-12-09,20:57,03:57,Libre,Almacén,
E041,2024-05-18,06:50,14:50,Tarde,Almacén,
E107,2025-01-17,10:29,17:29,Mañana,Planta de Producción,
E090,2024-10-31,22:00,04:00,Mañana,Oficina Remota,
E146,2024-04-24,03:09,09:09,Tarde,Planta de Producción,
E057,2025-02-15,13:21,21:21,Noche,Oficina Central,
E066,2025-01-24,20:09,02:09,Noche,Almacén,
E111,2025-03-08,08:21,14:21,Tarde,Oficina Remota,
E030,2024-10-01,06:06,12:06,Noche,Oficina Remota,
E083,2024-06-02,05:52,11:52,Noche,Planta de Producción,
E077,2025-04-04,08:43,15:43,Noche,Oficina Central,
E039,2025-03-11,22:52,06:52,Mañana,Almacén,
E105,2025-04-02,07:27,15:27,Tarde,Oficina Central,
E055,2024-12-20,21:14,04:14,Noche,Oficina Remota,
E148,2024-11-17,01:14,08:14,Tarde,Oficina Central,
E071,2025-01-29,08:37,16:37,Mañana,Planta de Producción,
E133,2024-12-19,20:36,04:36,Mañana,Planta de Producción,
E123,2024-12-02,08:50,14:50,Noche,Oficina Remota,
E029,2025-01-30,01:22,08:22,Libre,Oficina Remota,
E011,2025-04-22,02:43,09:43,Mañana,Oficina Remota,
E046,2024-07-30,18:23,00:23,Libre,Almacén,
E104,2024-04-25,20:01,04:01,Libre,Oficina Central,
E073,2024-07-19,10:52,18:52,Noche,Oficina Central,
E145,2025-03-10,15:17,21:17,Mañana,Planta de Producción,
E061,2025-02-05,15:12,22:12,Mañana,Planta de Producción,
E126,2024-06-27,11:33,18:33,Noche,Oficina Remota,Nihil aspernatur maxime facere ducimus.
E094,2024-06-17,03:52,11:52,Noche,Oficina Remota,Modi assumenda sit atque.
E077,2024-05-15,20:58,04:58,Tarde,Oficina Central,
E110,2024-04-28,21:17,04:17,Libre,Oficina Remota,
E126,2024-11-14,19:56,02:56,Mañana,Almacén,
E019,2024-09-04,20:22,03:22,Libre,Oficina Remota,
E044,2024-08-06,10:56,17:56,Noche,Oficina Remota,
E024,2024-06-28,14:34,22:34,Tarde,Planta de Producción,
E142,2024-07-16,08:03,14:03,Libre,Oficina Remota,
E128,2024-10-13,11:00,19:00,Tarde,Almacén,
E047,2024-08-04,16:58,22:58,Noche,Oficina Remota,
E103,2024-09-29,00:59,07:59,Mañana,Planta de Producción,
E050,2025-04-20,11:22,18:22,Noche,Planta de Producción,
E118,2024-10-08,00:37,06:37,Noche,Oficina Central,
E054,2025-03-24,23:14,07:14,Libre,Almacén,
E015,2024-08-11,08:14,15:14,Noche,Almacén,
E111,2024-09-10,07:52,13:52,Tarde,Oficina Central,
E068,2024-08-22,18:22,00:22,Libre,Planta de Producción,
E104,2024-06-16,22:39,06:39,Noche,Planta de Producción,Quam modi voluptate ducimus ullam.
E071,2025-02-20,05:42,13:42,Tarde,Oficina Remota,
E105,2025-03-11,15:20,21:20,Tarde,Oficina Central,
E001,2025-02-10,16:23,00:23,Mañana,Oficina Remota,Omnis tempora nihil enim totam.
E053,2024-06-12,19:18,02:18,Mañana,Planta de Producción,
E084,2024-08-06,01:43,07:43,Libre,Oficina Central,
E119,2024-05-05,06:05,14:05,Tarde,Planta de Producción,
E061,2024-10-24,10:08,18:08,Noche,Planta de Producción,
E088,2024-05-26,11:49,18:49,Libre,Oficina Remota,
E041,2025-04-09,05:21,12:21,Libre,Oficina Central,Vitae voluptas autem.
E136,2024-06-14,23:40,06:40,Mañana,Planta de Producción,Minima neque officiis fugit.
E022,2024-10-25,05:39,12:39,Mañana,Almacén,
E050,2024-09-13,11:01,17:01,Libre,Planta de Producción,
E106,2024-10-21,04:38,10:38,Noche,Almacén,
E055,2025-03-21,07:11,13:11,Tarde,Oficina Remota,
E077,2024-06-29,13:03,21:03,Mañana,Oficina Remota,
E097,2024-10-31,06:17,14:17,Tarde,Almacén,
E045,2024-12-05,16:42,23:42,Tarde,Oficina Central,
E010,2025-01-03,18:58,00:58,Mañana,Almacén,
E135,2025-01-08,09:14,16:14,Libre,Almacén,
E034,2024-12-05,18:53,01:53,Mañana,Planta de Producción,
E135,2024-06-26,04:53,12:53,Tarde,Planta de Producción,
E036,2024-07-09,05:25,12:25,Tarde,Oficina Central,
E141,2024-12-11,04:57,11:57,Mañana,Oficina Central,
E065,2024-12-07,21:38,04:38,Noche,Oficina Central,
E089,2024-11-28,15:00,21:00,Tarde,Almacén,
E098,2025-02-07,12:17,18:17,Tarde,Planta de Producción,
E130,2024-10-16,05:06,12:06,Noche,Almacén,
E096,2025-01-06,20:10,03:10,Libre,Oficina Remota,
E085,2025-03-22,20:43,02:43,Mañana,Planta de Producción,
E122,2025-02-09,22:56,06:56,Mañana,Planta de Producción,Blanditiis sapiente blanditiis laudantium vero quas.
E111,2024-05-11,20:23,04:23,Libre,Planta de Producción,
E049,2025-01-28,08:15,14:15,Tarde,Oficina Central,
E150,2025-01-26,19:10,01:10,Noche,Oficina Central,
E106,2024-06-08,01:40,07:40,Mañana,Planta de Producción,
E011,2024-12-19,02:32,08:32,Libre,Oficina Central,
E083,2024-05-16,13:42,20:42,Noche,Planta de Producción,
E118,2024-06-13,23:08,06:08,Noche,Oficina Central,
E047,2025-02-11,09:38,16:38,Tarde,Oficina Remota,
E013,2024-05-26,21:51,03:51,Mañana,Oficina Central,Deleniti distinctio asperiores.
E044,2025-04-16,21:50,03:50,Noche,Oficina Remota,
E071,2024-07-19,01:39,09:39,Mañana,Planta de Producción,
E018,2024-12-25,19:28,02:28,Libre,Oficina Remota,Veniam doloremque quidem deleniti.
E129,2024-08-18,15:08,22:08,Tarde,Almacén,
E008,2024-12-09,09:31,16:31,Noche,Oficina Central,
E081,2025-03-03,01:05,09:05,Tarde,Oficina Central,
E047,2025-01-05,14:42,21:42,Noche,Oficina Remota,
E034,2025-01-16,15:59,21:59,Mañana,Oficina Remota,
E004,2024-08-02,04:46,11:46,Mañana,Planta de Producción,
E092,2024-05-23,10:44,18:44,Mañana,Oficina Remota,
E014,2025-01-07,19:05,02:05,Mañana,Oficina Remota,
E098,2024-08-15,23:07,05:07,Tarde,Oficina Central,
E011,2024-08-28,16:44,22:44,Noche,Planta de Producción,
E016,2024-08-08,05:55,11:55,Libre,Planta de Producción,
E103,2025-03-11,12:18,19:18,Noche,Oficina Central,
E118,2024-06-16,00:06,07:06,Tarde,Oficina Remota,
E126,2024-06-18,17:23,00:23,Libre,Almacén,
E011,2024-11-17,23:03,07:03,Mañana,Oficina Central,
E044,2024-11-29,14:55,21:55,Noche,Oficina Remota,
E088,2024-05-02,12:32,18:32,Mañana,Oficina Central,
E082,2024-04-23,02:23,08:23,Mañana,Almacén,
E094,2024-08-27,06:06,14:06,Noche,Oficina Central,Corrupti molestiae rem.
E021,2025-02-24,19:33,03:33,Noche,Oficina Central,
E135,2024-12-16,00:38,08:38,Libre,Almacén,
E117,2025-03-05,20:21,03:21,Noche,Oficina Remota,
E044,2024-11-11,14:42,20:42,Mañana,Oficina Central,
E103,2024-09-24,14:11,20:11,Mañana,Almacén,
E098,2025-03-02,23:17,07:17,Mañana,Oficina Remota,
E063,2024-11-27,13:53,19:53,Noche,Planta de Producción,Inventore excepturi inventore.
E149,2025-02-15,15:32,22:32,Tarde,Planta de Producción,
E039,2025-01-05,08:25,16:25,Mañana,Oficina Remota,
E106,2025-01-04,19:10,02:10,Tarde,Oficina Central,
E130,2025-01-16,17:16,01:16,Tarde,Almacén,
E018,2024-07-21,12:58,19:58,Tarde,Almacén,
E040,2024-12-31,08:11,15:11,Libre,Planta de Producción,
E137,2024-06-08,06:55,14:55,Libre,Oficina Remota,
E018,2024-10-12,22:45,04:45,Noche,Oficina Central,
E095,2025-01-24,18:02,00:02,Libre,Planta de Producción,
E140,2024-09-12,23:10,05:10,Tarde,Planta de Producción,
E040,2024-12-17,00:02,07:02,Noche,Oficina Remota,
E099,2024-05-28,22:25,06:25,Libre,Almacén,
E089,2024-12-13,16:49,23:49,Mañana,Oficina Central,
E072,2025-04-03,12:18,19:18,Noche,Planta de Producción,
E096,2024-11-16,17:33,01:33,Libre,Almacén,
E132,2025-03-31,18:23,02:23,Libre,Oficina Central,
E030,2024-12-30,21:05,05:05,Libre,Planta de Producción,
E045,2024-09-16,12:18,18:18,Libre,Almacén,
E003,2025-02-13,04:45,12:45,Libre,Oficina Central,
E060,2024-12-26,08:28,14:28,Noche,Planta de Producción,
E025,2025-01-14,04:09,11:09,Noche,Planta de Producción,
E091,2024-09-17,20:35,02:35,Noche,Oficina Remota,
E125,2025-03-20,14:42,22:42,Tarde,Oficina Central,
E124,2024-07-02,04:36,11:36,Mañana,Oficina Central,
E041,2025-02-05,18:52,00:52,Libre,Almacén,
E139,2025-02-28,16:49,23:49,Tarde,Oficina Central,Ullam temporibus explicabo eius.
E016,2024-12-01,00:08,07:08,Noche,Oficina Central,
E075,2024-08-27,06:50,13:50,Noche,Planta de Producción,
E047,2024-09-22,15:46,21:46,Tarde,Oficina Remota,Optio officia omnis unde vitae amet.
E116,2024-10-14,11:31,17:31,Mañana,Almacén,
E092,2024-10-09,20:18,02:18,Noche,Almacén,
E067,2024-08-06,09:45,17:45,Libre,Oficina Central,
E082,2024-07-08,01:54,09:54,Mañana,Planta de Producción,
E031,2024-11-08,14:13,22:13,Tarde,Oficina Remota,
E141,2025-04-12,18:56,00:56,Noche,Oficina Central,
E026,2024-12-05,02:32,10:32,Libre,Oficina Central,
E053,2024-10-19,02:38,08:38,Mañana,Planta de Producción,
E031,2024-06-21,22:30,05:30,Mañana,Almacén,
E034,2024-08-12,13:42,19:42,Mañana,Almacén,
E035,2024-08-08,17:16,23:16,Libre,Oficina Remota,
E082,2024-09-04,13:10,21:10,Noche,Oficina Central,Harum consequuntur placeat adipisci molestiae doloremque.
E139,2024-09-14,19:10,03:10,Noche,Oficina Remota,
E110,2025-02-27,12:17,19:17,Noche,Almacén,
E140,2024-12-07,13:23,20:23,Noche,Oficina Central,
E084,2025-01-16,01:06,08:06,Libre,Oficina Remota,Expedita porro porro deleniti error reiciendis.
E131,2025-03-18,17:39,01:39,Libre,Almacén,
E139,2024-07-23,09:42,16:42,Noche,Oficina Central,Voluptas aut aliquid.
E075,2024-09-06,11:45,17:45,Noche,Planta de Producción,Ea eius dolor.
E148,2024-12-28,04:26,11:26,Libre,Planta de Producción,
E150,2024-05-06,11:52,18:52,Tarde,Oficina Remota,
E038,2025-03-25,21:40,05:40,Noche,Oficina Remota,
E114,2024-11-23,22:24,05:24,Tarde,Oficina Central,
E042,2024-04-26,04:53,12:53,Tarde,Oficina Remota,
E084,2024-10-11,12:25,20:25,Mañana,Oficina Remota,
E004,2025-02-06,08:54,16:54,Noche,Oficina Central,
E066,2024-07-24,16:41,23:41,Noche,Oficina Remota,
E092,2024-12-14,20:01,04:01,Mañana,Oficina Remota,
E035,2024-05-16,21:31,05:31,Libre,Planta de Producción,Harum possimus cumque nobis.
E106,2024-10-21,20:41,03:41,Noche,Oficina Central,
E138,2025-02-25,02:02,10:02,Libre,Planta de Producción,
E030,2025-03-04,23:07,05:07,Tarde,Oficina Remota,
E052,2024-07-05,13:09,20:09,Libre,Oficina Remota,
E088,2024-12-28,02:25,09:25,Noche,Almacén,
E103,2024-12-30,21:33,05:33,Mañana,Oficina Remota,
E148,2024-09-21,03:14,10:14,Libre,Oficina Central,
E120,2024-12-12,03:59,09:59,Libre,Almacén,
E058,2024-07-22,13:58,20:58,Mañana,Planta de Producción,
E150,2024-10-22,06:02,14:02,Tarde,Oficina Remota,
E107,2024-11-25,21:03,04:03,Tarde,Planta de Producción,
E048,2024-06-02,01:02,09:02,Mañana,Almacén,
E137,2024-05-23,06:39,14:39,Libre,Oficina Central,
E062,2025-04-12,19:14,02:14,Noche,Oficina Remota,Numquam impedit natus atque.
E042,2024-12-01,18:25,01:25,Noche,Oficina Central,
E012,2024-05-20,07:27,14:27,Libre,Planta de Producción,
E106,2024-09-30,11:52,17:52,Noche,Almacén,
E106,2025-01-18,07:05,14:05,Mañana,Oficina Remota,
E130,2025-04-03,02:30,09:30,Tarde,Oficina Central,
E096,2025-03-09,10:07,16:07,Mañana,Almacén,
E070,2025-03-08,02:15,08:15,Mañana,Planta de Producción,
E076,2025-04-07,05:39,11:39,Noche,Planta de Producción,
E102,2025-01-13,16:27,00:27,Tarde,Almacén,Est doloribus quasi qui.
E150,2024-10-21,10:33,18:33,Libre,Planta de Producción,
E042,2025-02-25,15:28,22:28,Libre,Almacén,Possimus id recusandae odio temporibus fugiat.
E065,2025-01-06,14:23,22:23,Noche,Oficina Central,
E003,2024-09-06,10:42,17:42,Noche,Oficina Remota,
E079,2024-09-05,03:51,09:51,Noche,Oficina Central,
E042,2025-03-07,02:47,09:47,Noche,Oficina Remota,
E122,2024-07-29,00:39,06:39,Tarde,Oficina Central,Alias tempora at.
E076,2024-06-01,00:13,07:13,Libre,Planta de Producción,
E001,2024-12-14,05:11,13:11,Tarde,Planta de Producción,
E141,2024-06-05,19:22,01:22,Mañana,Planta de Producción,
E114,2024-06-07,17:53,01:53,Noche,Planta de Producción,
E085,2024-05-01,11:14,18:14,Noche,Planta de Producción,
E053,2025-04-16,13:28,21:28,Libre,Almacén,
E085,2024-05-08,15:21,22:21,Noche,Planta de Producción,
E037,2025-03-05,22:20,05:20,Noche,Planta de Producción,
E003,2025-01-12,16:04,00:04,Libre,Oficina Remota,
E135,2025-02-23,21:13,04:13,Tarde,Planta de Producción,
E091,2024-10-06,23:44,07:44,Tarde,Almacén,
E121,2024-10-10,22:38,05:38,Mañana,Oficina Remota,
E020,2024-10-12,21:48,05:48,Tarde,Almacén,
E072,2024-06-07,19:02,02:02,Noche,Planta de Producción,
E037,2024-12-27,02:55,09:55,Mañana,Almacén,Velit ab quia odit.
E125,2024-05-10,13:47,21:47,Tarde,Almacén,
E027,2025-03-17,12:38,19:38,Tarde,Oficina Central,
E044,2025-04-17,20:32,03:32,Mañana,Almacén,
E149,2024-07-23,05:28,11:28,Tarde,Planta de Producción,
E015,2024-09-29,06:05,14:05,Mañana,Almacén,
E062,2024-10-23,16:37,23:37,Libre,Planta de Producción,
E025,2024-07-20,08:47,16:47,Noche,Planta de Producción,
E089,2024-08-14,08:08,16:08,Noche,Almacén,
E039,2024-08-26,23:40,06:40,Tarde,Almacén,
E107,2025-01-22,18:12,00:12,Noche,Oficina Central,
E028,2024-12-30,14:39,21:39,Tarde,Oficina Central,
E075,2024-10-26,00:26,08:26,Libre,Almacén,
E048,2024-05-04,21:47,05:47,Libre,Oficina Central,
E138,2024-04-30,01:23,08:23,Libre,Oficina Remota,
E096,2025-03-23,03:06,09:06,Libre,Planta de Producción,
E045,2024-10-23,22:20,05:20,Mañana,Oficina Remota,
E008,2024-05-24,07:19,13:19,Libre,Oficina Central,
E136,2025-03-10,09:35,17:35,Noche,Planta de Producción,
E016,2024-07-15,22:37,05:37,Mañana,Almacén,
E148,2024-12-21,03:16,10:16,Tarde,Oficina Remota,
E050,2025-04-14,11:21,17:21,Noche,Almacén,
E034,2025-04-12,21:48,04:48,Mañana,Oficina Central,
E062,2024-04-23,18:33,02:33,Mañana,Almacén,
E017,2024-05-09,10:26,16:26,Libre,Almacén,Laborum ipsum illo non suscipit sed.
E134,2024-05-26,05:37,13:37,Libre,Almacén,
E041,2024-05-31,03:13,10:13,Tarde,Planta de Producción,
E022,2025-04-19,12:03,19:03,Tarde,Oficina Remota,Consequuntur animi aspernatur praesentium nostrum pariatur.
E067,2024-09-27,00:51,06:51,Noche,Planta de Producción,
E116,2024-08-02,01:15,08:15,Mañana,Oficina Remota,
E105,2024-11-13,09:39,15:39,Noche,Almacén,
E105,2024-07-15,21:56,04:56,Noche,Oficina Central,Possimus cum dolor voluptatem odio est.
E149,2024-05-06,09:39,17:39,Noche,Oficina Remota,Facere voluptatum quae doloremque neque.
E107,2024-08-29,21:50,03:50,Mañana,Oficina Remota,
E083,2024-04-26,02:24,08:24,Libre,Oficina Central,
E055,2024-11-29,11:30,18:30,Noche,Almacén,
E091,2024-12-09,09:40,16:40,Libre,Oficina Remota,
E009,2024-12-06,02:37,09:37,Noche,Almacén,
E141,2024-05-09,08:13,16:13,Tarde,Almacén,
E073,2025-01-24,17:01,23:01,Mañana,Planta de Producción,
E055,2025-02-03,22:36,06:36,Libre,Almacén,
E098,2025-02-28,15:24,23:24,Libre,Planta de Producción,
E114,2024-10-07,07:44,13:44,Tarde,Oficina Remota,
E089,2024-07-17,00:10,07:10,Mañana,Planta de Producción,
E122,2025-01-31,17:00,23:00,Mañana,Almacén,
E124,2024-12-26,02:00,10:00,Libre,Oficina Central,
E100,2024-11-09,04:22,10:22,Mañana,Almacén,
E053,2025-04-05,18:30,00:30,Mañana,Oficina Central,
E102,2024-07-07,02:39,08:39,Mañana,Oficina Remota,Eligendi molestiae magni.
E118,2024-10-30,05:53,12:53,Tarde,Oficina Remota,
E085,2025-03-07,07:49,15:49,Tarde,Oficina Remota,
E087,2025-03-05,02:08,08:08,Mañana,Oficina Central,
E113,2024-09-06,21:43,04:43,Tarde,Planta de Producción,
E003,2025-02-26,09:10,17:10,Noche,Planta de Producción,
E146,2024-10-25,10:12,17:12,Noche,Oficina Remota,Voluptate fuga odit ullam.
E109,2024-11-04,16:54,00:54,Noche,Oficina Central,
E147,2024-11-25,11:49,18:49,Noche,Oficina Remota,
E141,2024-04-23,00:48,08:48,Libre,Oficina Remota,
E037,2025-04-21,03:04,10:04,Mañana,Oficina Central,
E045,2024-11-29,18:38,02:38,Noche,Oficina Remota,
E073,2024-10-03,23:33,05:33,Libre,Oficina Central,
E098,2024-05-02,03:55,09:55,Mañana,Almacén,
E066,2024-07-23,09:29,15:29,Mañana,Oficina Remota,
E072,2024-06-14,14:42,21:42,Mañana,Oficina Central,
E132,2024-10-08,11:36,18:36,Mañana,Almacén,
E003,2025-04-18,18:45,02:45,Libre,Oficina Remota,
E122,2024-10-20,17:56,01:56,Noche,Oficina Remota,
E022,2024-09-13,10:46,18:46,Tarde,Planta de Producción,
E092,2024-08-27,17:55,00:55,Tarde,Oficina Central,
E026,2025-03-24,04:22,11:22,Noche,Almacén,
E015,2024-07-03,05:22,12:22,Libre,Oficina Central,
E067,2024-05-25,09:56,16:56,Mañana,Planta de Producción,
E082,2025-03-26,08:13,14:13,Mañana,Planta de Producción,
E128,2024-08-08,10:08,17:08,Tarde,Planta de Producción,
E136,2025-03-11,19:38,01:38,Mañana,Oficina Remota,Quibusdam ratione accusamus.
E086,2025-01-11,19:00,02:00,Libre,Almacén,
E077,2024-07-21,05:07,13:07,Libre,Oficina Central,Libero tenetur quos hic incidunt quibusdam.
E066,2025-01-06,02:09,10:09,Noche,Almacén,
E118,2024-08-30,08:27,16:27,Noche,Oficina Central,
E136,2024-07-15,06:34,14:34,Tarde,Oficina Remota,
E066,2025-02-23,16:18,00:18,Tarde,Planta de Producción,Iste minima ullam vitae itaque iste.
E104,2024-06-17,06:33,12:33,Libre,Planta de Producción,
E018,2024-09-28,04:43,12:43,Libre,Oficina Central,
E128,2024-12-19,19:06,02:06,Noche,Oficina Central,
E111,2024-04-29,18:44,00:44,Noche,Oficina Remota,Est magni dolores a minima.
E124,2025-02-11,23:24,06:24,Noche,Almacén,
E109,2024-12-24,14:09,21:09,Libre,Almacén,Quo ipsa voluptatem.
E105,2025-04-07,09:07,15:07,Noche,Planta de Producción,Voluptatibus cumque cum.
E112,2024-05-27,16:56,23:56,Tarde,Planta de Producción,
E013,2025-01-12,09:34,15:34,Tarde,Almacén,
E058,2024-12-06,00:41,06:41,Noche,Oficina Central,
E019,2024-04-25,19:35,02:35,Tarde,Almacén,
E002,2025-03-09,06:13,14:13,Libre,Oficina Central,
E147,2025-03-28,11:24,18:24,Noche,Oficina Central,
E133,2024-12-25,02:40,10:40,Tarde,Almacén,
E105,2025-03-10,11:40,19:40,Noche,Oficina Central,
E096,2025-03-05,05:51,13:51,Mañana,Oficina Central,
E053,2024-12-01,16:30,00:30,Noche,Oficina Remota,
E146,2024-10-05,20:53,02:53,Tarde,Almacén,
E110,2024-08-11,08:41,16:41,Tarde,Oficina Remota,
E067,2024-10-08,07:29,14:29,Mañana,Almacén,
E057,2024-11-13,13:23,21:23,Noche,Oficina Remota,
E137,2025-01-05,17:31,00:31,Noche,Planta de Producción,
E065,2025-03-14,00:01,07:01,Mañana,Planta de Producción,
E025,2025-03-18,08:01,15:01,Tarde,Oficina Remota,
E124,2025-01-17,16:33,00:33,Libre,Oficina Central,
E052,2024-05-11,13:54,21:54,Tarde,Planta de Producción,
E129,2024-05-07,18:36,00:36,Mañana,Oficina Central,
E054,2024-07-15,07:38,15:38,Libre,Almacén,Iste debitis quia.
E145,2025-01-26,10:57,17:57,Noche,Almacén,
E129,2025-03-20,22:49,05:49,Mañana,Oficina Central,
E027,2025-02-08,03:46,10:46,Tarde,Almacén,
E009,2025-03-02,19:07,03:07,Libre,Oficina Central,
E011,2024-07-17,16:09,23:09,Mañana,Oficina Remota,
E090,2025-02-25,07:17,14:17,Libre,Almacén,Commodi dicta accusantium necessitatibus excepturi magni.
E065,2024-10-04,18:45,02:45,Mañana,Almacén,
E101,2024-08-15,18:45,00:45,Libre,Oficina Remota,
E143,2025-02-01,10:28,17:28,Noche,Planta de Producción,
E132,2025-01-27,04:26,12:26,Mañana,Oficina Remota,
E007,2024-07-07,15:43,22:43,Libre,Oficina Remota,
E005,2024-04-30,16:29,22:29,Mañana,Almacén,
E059,2024-05-06,19:26,03:26,Libre,Oficina Remota,
E040,2025-03-24,14:43,21:43,Tarde,Oficina Central,
E024,2025-01-31,17:55,01:55,Noche,Oficina Central,
E130,2024-11-07,20:45,03:45,Tarde,Planta de Producción,
E149,2024-09-03,20:29,04:29,Noche,Almacén,Aliquid nulla quaerat ad assumenda dolor.
E125,2024-05-02,03:09,10:09,Noche,Oficina Remota,
E101,2024-10-18,12:26,20:26,Noche,Oficina Remota,
E002,2024-08-12,13:15,19:15,Mañana,Oficina Remota,
