timestamp,empleado_id,pregunta,intencion_detectada,respuesta_chatbot,satisfaccion_usuario
2025-04-23 13:41:35,E145,¿Cuál es la política de teletrabajo?,Consultar_politica,Puedes contactarnos por email o teléfono.,3
2025-04-23 13:40:30,E075,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 2129.61.,4
2025-04-23 13:39:13,E033,¿Cuál es mi salario?,Consultar_salario,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:41:29,E087,¿Cuál es la política de teletrabajo?,Consultar_politica,"Por favor, contacta con el departamento de nóminas.",2
2025-04-23 13:38:42,E102,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Tu salario es 3960.19.,4
2025-04-23 13:39:35,E068,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Sí, puedes encontrar información en la intranet.",5
2025-04-23 13:40:58,E106,¿Cuál es mi salario?,Consultar_salario,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:39:18,E128,¿Cuál es el horario de trabajo?,Consultar_horario,Tienes 16 días disponibles.,3
2025-04-23 13:41:29,E087,¿Cómo puedo cambiar mi información personal?,Actualizar_info,La política se encuentra en el portal del empleado.,3
2025-04-23 13:40:45,E129,¿Cómo solicito una baja médica?,Solicitar_baja,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:41:39,E100,¿Cuál es mi salario?,Consultar_salario,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:39:46,E024,¿Cómo solicito una baja médica?,Solicitar_baja,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:38:42,E040,¿Cuál es el horario de trabajo?,Consultar_horario,Tienes 27 días disponibles.,5
2025-04-23 13:39:37,E149,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:40:05,E052,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:40:13,E095,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes contactarnos por email o teléfono.,3
2025-04-23 13:38:44,E095,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Ofrecemos seguro médico, plan de pensiones como beneficios.",1
2025-04-23 13:40:18,E035,¿Cuál es el horario de trabajo?,Consultar_horario,El horario es de 9:00 a 18:00.,1
2025-04-23 13:39:25,E048,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:40:26,E065,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Tu salario es 1789.13.,5
2025-04-23 13:41:24,E089,¿Hay oportunidades de formación?,Consultar_formacion,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:39:26,E071,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:38:54,E059,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:41:01,E091,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:40:04,E010,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:39:38,E036,¿Cuál es mi salario?,Consultar_salario,Puedes hacerlo a través de tu perfil.,1
2025-04-23 13:41:11,E038,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:40:33,E004,No he recibido mi nómina.,Reclamar_nomina,La política se encuentra en el portal del empleado.,4
2025-04-23 13:38:42,E124,¿Cuál es la política de teletrabajo?,Consultar_politica,"Por favor, contacta con el departamento de nóminas.",1
2025-04-23 13:39:57,E108,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tienes 15 días disponibles.,1
2025-04-23 13:39:50,E029,¿Cuál es mi salario?,Consultar_salario,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:38:49,E076,¿Cuál es el horario de trabajo?,Consultar_horario,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:40:36,E061,¿Cuál es mi salario?,Consultar_salario,La política se encuentra en el portal del empleado.,5
2025-04-23 13:39:20,E046,¿Cuál es el horario de trabajo?,Consultar_horario,Tu salario es 2953.48.,1
2025-04-23 13:38:54,E047,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Tienes 21 días disponibles.,5
2025-04-23 13:40:46,E090,¿Cuál es el horario de trabajo?,Consultar_horario,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:40:50,E024,¿Cómo solicito una baja médica?,Solicitar_baja,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:38:40,E149,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,La política se encuentra en el portal del empleado.,1
2025-04-23 13:41:04,E134,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:41:13,E029,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:40:12,E089,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:39:12,E033,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,El horario es de 9:00 a 18:00.,5
2025-04-23 13:39:47,E047,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,1
2025-04-23 13:40:20,E077,¿Hay oportunidades de formación?,Consultar_formacion,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:40:48,E117,¿Cuál es la política de teletrabajo?,Consultar_politica,Tienes 10 días disponibles.,5
2025-04-23 13:38:53,E015,No he recibido mi nómina.,Reclamar_nomina,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:38:53,E147,¿Hay oportunidades de formación?,Consultar_formacion,La política se encuentra en el portal del empleado.,3
2025-04-23 13:39:24,E079,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tienes 18 días disponibles.,4
2025-04-23 13:39:10,E004,¿Cómo solicito una baja médica?,Solicitar_baja,Tienes 10 días disponibles.,2
2025-04-23 13:41:29,E049,¿Hay oportunidades de formación?,Consultar_formacion,Tienes 13 días disponibles.,3
2025-04-23 13:38:51,E042,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tienes 18 días disponibles.,4
2025-04-23 13:39:04,E113,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 2928.93.,1
2025-04-23 13:38:45,E124,¿Hay oportunidades de formación?,Consultar_formacion,Tienes 13 días disponibles.,2
2025-04-23 13:40:48,E012,¿Hay oportunidades de formación?,Consultar_formacion,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:39:27,E097,¿Hay oportunidades de formación?,Consultar_formacion,Puedes contactarnos por email o teléfono.,3
2025-04-23 13:39:05,E056,No he recibido mi nómina.,Reclamar_nomina,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:39:04,E027,¿Cuál es el horario de trabajo?,Consultar_horario,"Sí, puedes encontrar información en la intranet.",3
2025-04-23 13:38:57,E071,¿Cuál es el horario de trabajo?,Consultar_horario,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:40:35,E005,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:40:37,E088,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tu salario es 3985.18.,3
2025-04-23 13:39:11,E107,¿Cuál es el horario de trabajo?,Consultar_horario,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:41:01,E069,¿Cuál es el horario de trabajo?,Consultar_horario,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:39:59,E037,¿Cuál es el horario de trabajo?,Consultar_horario,La política se encuentra en el portal del empleado.,5
2025-04-23 13:38:46,E051,¿Cuál es la política de teletrabajo?,Consultar_politica,"Ofrecemos seguro médico, plan de pensiones como beneficios.",1
2025-04-23 13:41:03,E075,¿Hay oportunidades de formación?,Consultar_formacion,Tienes 20 días disponibles.,4
2025-04-23 13:39:16,E136,¿Cuál es mi salario?,Consultar_salario,El horario es de 9:00 a 18:00.,4
2025-04-23 13:40:30,E101,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Ofrecemos seguro médico, plan de pensiones como beneficios.",4
2025-04-23 13:40:45,E041,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:39:42,E150,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,La política se encuentra en el portal del empleado.,2
2025-04-23 13:40:09,E098,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:40:15,E021,¿Cuál es la política de teletrabajo?,Consultar_politica,El horario es de 9:00 a 18:00.,3
2025-04-23 13:40:57,E044,¿Cómo solicito una baja médica?,Solicitar_baja,La política se encuentra en el portal del empleado.,5
2025-04-23 13:40:20,E141,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:39:57,E013,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Por favor, contacta con el departamento de nóminas.",1
2025-04-23 13:39:33,E072,¿Hay oportunidades de formación?,Consultar_formacion,"Por favor, contacta con el departamento de nóminas.",1
2025-04-23 13:40:17,E043,¿Cuál es mi salario?,Consultar_salario,Tu salario es 2121.88.,4
2025-04-23 13:40:08,E104,¿Hay oportunidades de formación?,Consultar_formacion,Tu salario es 3369.83.,4
2025-04-23 13:40:45,E094,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:40:09,E076,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:38:50,E143,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,El horario es de 9:00 a 18:00.,3
2025-04-23 13:41:28,E149,¿Hay oportunidades de formación?,Consultar_formacion,Puedes contactarnos por email o teléfono.,1
2025-04-23 13:39:15,E060,¿Cuál es la política de teletrabajo?,Consultar_politica,El horario es de 9:00 a 18:00.,1
2025-04-23 13:40:41,E075,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:40:15,E010,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Sí, puedes encontrar información en la intranet.",5
2025-04-23 13:39:33,E118,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes contactarnos por email o teléfono.,5
2025-04-23 13:39:50,E072,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,"Ofrecemos seguro médico, plan de pensiones como beneficios.",2
2025-04-23 13:39:59,E036,¿Cuál es la política de teletrabajo?,Consultar_politica,La política se encuentra en el portal del empleado.,5
2025-04-23 13:39:36,E137,No he recibido mi nómina.,Reclamar_nomina,Puedes contactarnos por email o teléfono.,3
2025-04-23 13:40:20,E094,¿Cuál es el horario de trabajo?,Consultar_horario,El horario es de 9:00 a 18:00.,4
2025-04-23 13:39:09,E055,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:38:56,E127,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes hacerlo a través de tu perfil.,1
2025-04-23 13:40:06,E032,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:41:15,E108,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes contactarnos por email o teléfono.,3
2025-04-23 13:39:03,E032,¿Cuál es la política de teletrabajo?,Consultar_politica,El horario es de 9:00 a 18:00.,5
2025-04-23 13:39:44,E069,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Tienes 19 días disponibles.,4
2025-04-23 13:40:57,E049,¿Cómo puedo cambiar mi información personal?,Actualizar_info,La política se encuentra en el portal del empleado.,5
2025-04-23 13:41:33,E034,¿Hay oportunidades de formación?,Consultar_formacion,Debes seguir los siguientes pasos: el sistema de gestión.,2
2025-04-23 13:39:39,E081,¿Cuál es el horario de trabajo?,Consultar_horario,"Sí, puedes encontrar información en la intranet.",1
2025-04-23 13:41:22,E059,No he recibido mi nómina.,Reclamar_nomina,La política se encuentra en el portal del empleado.,3
2025-04-23 13:38:50,E085,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:40:11,E125,¿Cuál es mi salario?,Consultar_salario,"Por favor, contacta con el departamento de nóminas.",2
2025-04-23 13:41:04,E069,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,La política se encuentra en el portal del empleado.,3
2025-04-23 13:39:00,E090,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Debes seguir los siguientes pasos: el sistema de gestión.,5
2025-04-23 13:39:41,E129,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,El horario es de 9:00 a 18:00.,2
2025-04-23 13:39:11,E082,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Por favor, contacta con el departamento de nóminas.",5
2025-04-23 13:39:15,E147,¿Cómo solicito una baja médica?,Solicitar_baja,Tu salario es 3981.26.,4
2025-04-23 13:39:42,E064,¿Cuál es el horario de trabajo?,Consultar_horario,La política se encuentra en el portal del empleado.,4
2025-04-23 13:39:03,E119,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:38:48,E121,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Ofrecemos seguro médico, plan de pensiones como beneficios.",3
2025-04-23 13:40:00,E134,¿Cuál es el horario de trabajo?,Consultar_horario,Puedes contactarnos por email o teléfono.,4
2025-04-23 13:38:56,E057,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:40:40,E017,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 2223.44.,5
2025-04-23 13:39:31,E149,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:38:53,E116,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes contactarnos por email o teléfono.,4
2025-04-23 13:39:32,E002,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,El horario es de 9:00 a 18:00.,2
2025-04-23 13:38:56,E074,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 1736.11.,5
2025-04-23 13:41:39,E081,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Sí, puedes encontrar información en la intranet.",1
2025-04-23 13:40:20,E039,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:41:18,E063,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Puedes hacerlo a través de tu perfil.,2
2025-04-23 13:41:30,E080,¿Hay oportunidades de formación?,Consultar_formacion,Debes seguir los siguientes pasos: el sistema de gestión.,1
2025-04-23 13:40:10,E090,No he recibido mi nómina.,Reclamar_nomina,Tu salario es 2369.45.,5
2025-04-23 13:39:08,E012,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Tu salario es 3566.0.,5
2025-04-23 13:39:18,E042,¿Cuál es el horario de trabajo?,Consultar_horario,El horario es de 9:00 a 18:00.,3
2025-04-23 13:38:43,E078,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes hacerlo a través de tu perfil.,5
2025-04-23 13:39:01,E033,¿Cómo solicito una baja médica?,Solicitar_baja,"Ofrecemos seguro médico, plan de pensiones como beneficios.",5
2025-04-23 13:39:16,E033,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Por favor, contacta con el departamento de nóminas.",2
2025-04-23 13:40:06,E108,¿Cuál es mi salario?,Consultar_salario,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:41:25,E111,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tienes 18 días disponibles.,1
2025-04-23 13:41:25,E078,No he recibido mi nómina.,Reclamar_nomina,"Por favor, contacta con el departamento de nóminas.",3
2025-04-23 13:41:39,E043,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Puedes hacerlo a través de tu perfil.,4
2025-04-23 13:39:24,E008,¿Cómo puedo cambiar mi información personal?,Actualizar_info,"Sí, puedes encontrar información en la intranet.",2
2025-04-23 13:38:44,E037,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,Tu salario es 3987.66.,4
2025-04-23 13:41:00,E092,¿Cómo solicito una baja médica?,Solicitar_baja,Debes seguir los siguientes pasos: el sistema de gestión.,4
2025-04-23 13:41:02,E023,¿Cómo puedo cambiar mi información personal?,Actualizar_info,Tienes 25 días disponibles.,4
2025-04-23 13:38:47,E119,¿Cómo solicito una baja médica?,Solicitar_baja,Puedes hacerlo a través de tu perfil.,3
2025-04-23 13:40:50,E004,No he recibido mi nómina.,Reclamar_nomina,La política se encuentra en el portal del empleado.,5
2025-04-23 13:40:47,E126,¿Cómo puedo contactar con RRHH?,Contactar_RRHH,Tienes 9 días disponibles.,4
2025-04-23 13:40:41,E117,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,Puedes contactarnos por email o teléfono.,1
2025-04-23 13:39:26,E082,¿Qué beneficios ofrece la empresa?,Consultar_beneficios,"Por favor, contacta con el departamento de nóminas.",4
2025-04-23 13:40:02,E043,¿Cuántos días de vacaciones me quedan?,Consultar_vacaciones,"Por favor, contacta con el departamento de nóminas.",2
