id_solicitud,id_empleado,fecha_inicio,fecha_fin,duracion_dias,fecha_solicitud,estado,motivo_rechazo,periodo_anio,mes_solicitud,dia_semana_solicitud
107,110,2024-10-28,2024-11-07,11,2024-09-21,Aceptada,,2024,9,Saturday
108,54,2024-10-03,2024-10-13,11,2024-08-24,Aceptada,,2024,8,Saturday
109,80,2025-04-12,2025-04-18,7,2025-03-14,Aceptada,,2025,3,Friday
110,8,2025-02-19,2025-02-24,6,2024-12-29,Aceptada,,2025,12,Sunday
111,81,2024-06-30,2024-07-19,20,2024-05-23,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Thursday
112,118,2024-11-07,2024-11-08,2,2024-10-21,Aceptada,,2024,10,Monday
113,63,2024-08-19,2024-08-31,13,2024-07-01,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,7,Monday
114,77,2025-01-21,2025-02-03,14,2024-12-25,Aceptada,,2025,12,Wednesday
115,13,2024-09-15,2024-09-19,5,2024-07-28,Aceptada,,2024,7,Sunday
116,134,2024-07-08,2024-07-24,17,2024-05-09,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2024,5,Thursday
117,144,2024-10-15,2024-10-17,3,2024-07-31,Rechazada,No se cumple la antigüedad mínima de 6.0 meses.,2024,7,Wednesday
118,130,2024-08-06,2024-08-25,20,2024-05-16,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,5,Thursday
119,69,2025-05-05,2025-05-21,17,2025-02-18,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,2,Tuesday
120,62,2024-12-27,2024-12-31,5,2024-10-14,Aceptada,,2024,10,Monday
121,11,2025-02-18,2025-02-26,9,2024-11-20,Aceptada,,2025,11,Wednesday
122,42,2025-01-28,2025-01-31,4,2024-12-14,Aceptada,,2025,12,Saturday
123,47,2024-08-22,2024-09-07,17,2024-07-01,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,7,Monday
124,19,2024-11-25,2024-11-25,1,2024-10-14,Aceptada,,2024,10,Monday
125,61,2024-07-06,2024-07-11,6,2024-05-09,Aceptada,,2024,5,Thursday
126,82,2025-03-31,2025-04-02,3,2025-03-22,Aceptada,,2025,3,Saturday
127,1,2024-07-21,2024-07-25,5,2024-06-30,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2024,6,Sunday
128,11,2024-06-16,2024-07-04,19,2024-05-02,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,5,Thursday
129,50,2024-11-21,2024-11-26,6,2024-09-29,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Sunday
130,22,2025-01-10,2025-01-11,2,2024-11-07,Aceptada,,2025,11,Thursday
131,80,2024-08-19,2024-08-22,4,2024-05-26,Aceptada,,2024,5,Sunday
132,71,2025-03-25,2025-04-08,15,2025-01-03,Aceptada,,2025,1,Friday
133,96,2025-06-24,2025-07-02,9,2025-04-12,Aceptada,,2025,4,Saturday
134,2,2025-02-23,2025-02-27,5,2024-12-12,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2025,12,Thursday
135,85,2024-09-29,2024-09-29,1,2024-07-19,Aceptada,,2024,7,Friday
136,102,2024-10-29,2024-11-13,16,2024-09-30,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2024,9,Monday
137,42,2024-08-10,2024-08-26,17,2024-05-28,Aceptada,,2024,5,Tuesday
138,94,2025-05-08,2025-05-14,7,2025-03-29,Aceptada,,2025,3,Saturday
139,41,2024-09-17,2024-10-04,18,2024-08-01,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,8,Thursday
140,112,2024-06-30,2024-07-06,7,2024-06-24,Aceptada,,2024,6,Monday
141,63,2024-07-30,2024-08-14,16,2024-06-10,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,6,Monday
142,66,2025-02-18,2025-03-06,17,2024-12-22,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,12,Sunday
143,104,2024-08-06,2024-08-06,1,2024-07-01,Aceptada,,2024,7,Monday
144,40,2024-12-19,2024-12-31,13,2024-11-13,Aceptada,,2024,11,Wednesday
145,54,2025-06-23,2025-06-24,2,2025-04-07,Aceptada,,2025,4,Monday
146,1,2024-07-11,2024-07-13,3,2024-06-13,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2024,6,Thursday
147,60,2025-02-18,2025-02-22,5,2025-01-03,Aceptada,,2025,1,Friday
148,15,2025-02-09,2025-02-25,17,2024-11-22,Aceptada,,2025,11,Friday
149,88,2025-01-20,2025-01-21,2,2024-12-08,Aceptada,,2025,12,Sunday
150,2,2024-10-23,2024-11-05,14,2024-09-30,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,9,Monday
151,112,2024-09-16,2024-09-22,7,2024-08-28,Aceptada,,2024,8,Wednesday
152,53,2024-09-07,2024-09-19,13,2024-06-12,Aceptada,,2024,6,Wednesday
153,88,2025-04-21,2025-04-27,7,2025-03-26,Aceptada,,2025,3,Wednesday
154,3,2024-10-15,2024-10-19,5,2024-08-11,Aceptada,,2024,8,Sunday
155,13,2025-05-22,2025-06-02,12,2025-03-03,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,3,Monday
156,12,2024-08-15,2024-08-20,6,2024-07-18,Aceptada,,2024,7,Thursday
157,20,2024-11-14,2024-11-25,12,2024-08-23,Aceptada,,2024,8,Friday
158,111,2024-11-04,2024-11-12,9,2024-09-29,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Sunday
159,6,2025-02-10,2025-02-22,13,2025-01-16,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,1,Thursday
160,149,2024-08-20,2024-09-03,15,2024-07-19,Aceptada,,2024,7,Friday
161,15,2025-01-03,2025-01-22,20,2024-10-12,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2025,10,Saturday
162,147,2025-01-07,2025-01-20,14,2024-11-23,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,11,Saturday
163,9,2024-09-25,2024-10-02,8,2024-09-01,Aceptada,,2024,9,Sunday
164,67,2025-04-07,2025-04-14,8,2025-01-24,Aceptada,,2025,1,Friday
165,60,2024-11-23,2024-12-04,12,2024-09-02,Aceptada,,2024,9,Monday
166,56,2024-08-31,2024-09-06,7,2024-06-18,Aceptada,,2024,6,Tuesday
167,144,2025-04-18,2025-04-24,7,2025-02-12,Rechazada,No se cumple la antigüedad mínima de 6.0 meses.,2025,2,Wednesday
168,91,2024-08-24,2024-08-31,8,2024-08-03,Aceptada,,2024,8,Saturday
169,82,2024-06-22,2024-07-07,16,2024-06-03,Rechazada,Duración de vacaciones excede el límite permitido de 12 días.,2024,6,Monday
170,71,2024-10-06,2024-10-21,16,2024-09-20,Aceptada,,2024,9,Friday
171,65,2024-09-01,2024-09-16,16,2024-06-04,Aceptada,,2024,6,Tuesday
172,46,2024-10-06,2024-10-07,2,2024-09-07,Aceptada,,2024,9,Saturday
173,148,2024-05-15,2024-05-19,5,2024-04-29,Aceptada,,2024,4,Monday
174,82,2025-02-19,2025-02-27,9,2024-12-27,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2025,12,Friday
175,100,2024-07-08,2024-07-09,2,2024-04-29,Aceptada,,2024,4,Monday
176,25,2025-03-16,2025-03-21,6,2025-01-14,Aceptada,,2025,1,Tuesday
177,43,2025-03-06,2025-03-14,9,2024-12-11,Aceptada,,2025,12,Wednesday
178,20,2025-03-28,2025-04-16,20,2025-02-09,Aceptada,,2025,2,Sunday
179,44,2024-06-03,2024-06-19,17,2024-05-17,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Friday
180,103,2024-08-23,2024-08-29,7,2024-06-24,Aceptada,,2024,6,Monday
181,24,2024-07-16,2024-07-21,6,2024-05-04,Aceptada,,2024,5,Saturday
182,48,2024-11-02,2024-11-08,7,2024-09-09,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Monday
183,19,2024-12-26,2025-01-01,7,2024-12-09,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,12,Monday
184,96,2024-09-15,2024-10-01,17,2024-06-22,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,6,Saturday
185,93,2024-06-24,2024-07-09,16,2024-06-02,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2024,6,Sunday
186,61,2024-09-05,2024-09-05,1,2024-07-20,Aceptada,,2024,7,Saturday
187,40,2024-06-20,2024-07-07,18,2024-05-17,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,5,Friday
188,134,2024-10-17,2024-11-02,17,2024-08-27,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,8,Tuesday
189,47,2025-01-24,2025-02-01,9,2024-12-07,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2025,12,Saturday
190,22,2025-03-27,2025-04-13,18,2025-03-03,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2025,3,Monday
191,73,2024-12-24,2025-01-02,10,2024-11-17,Aceptada,,2024,11,Sunday
192,27,2024-09-26,2024-09-27,2,2024-07-26,Aceptada,,2024,7,Friday
193,13,2025-03-06,2025-03-16,11,2025-01-17,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,1,Friday
194,106,2024-08-06,2024-08-13,8,2024-06-24,Aceptada,,2024,6,Monday
195,125,2024-11-01,2024-11-19,19,2024-08-24,Aceptada,,2024,8,Saturday
196,24,2024-11-05,2024-11-13,9,2024-10-30,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,10,Wednesday
197,129,2024-07-25,2024-07-31,7,2024-07-07,Aceptada,,2024,7,Sunday
198,66,2025-03-17,2025-03-23,7,2025-03-03,Aceptada,,2025,3,Monday
199,11,2024-11-30,2024-12-15,16,2024-10-27,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,10,Sunday
200,38,2025-03-31,2025-03-31,1,2025-02-18,Aceptada,,2025,2,Tuesday
201,108,2024-06-28,2024-07-15,18,2024-05-10,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Friday
202,46,2024-09-28,2024-10-02,5,2024-09-19,Aceptada,,2024,9,Thursday
203,1,2024-11-07,2024-11-13,7,2024-11-01,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2024,11,Friday
204,133,2025-02-04,2025-02-12,9,2024-11-17,Aceptada,,2025,11,Sunday
205,14,2024-10-02,2024-10-08,7,2024-08-11,Aceptada,,2024,8,Sunday
206,39,2024-12-03,2024-12-06,4,2024-11-17,Aceptada,,2024,11,Sunday
207,86,2025-05-04,2025-05-13,10,2025-04-06,Aceptada,,2025,4,Sunday
208,27,2024-11-26,2024-12-12,17,2024-09-20,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,9,Friday
209,28,2025-05-16,2025-06-02,18,2025-03-10,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2025,3,Monday
210,94,2024-08-17,2024-08-23,7,2024-05-28,Aceptada,,2024,5,Tuesday
211,92,2024-08-19,2024-08-27,9,2024-08-06,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,8,Tuesday
212,97,2025-05-28,2025-06-06,10,2025-03-30,Rechazada,No se cumple la antigüedad mínima de 3.0 meses.,2025,3,Sunday
213,6,2024-09-10,2024-09-29,20,2024-07-24,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,7,Wednesday
214,35,2024-10-10,2024-10-13,4,2024-08-15,Aceptada,,2024,8,Thursday
215,128,2025-03-24,2025-04-02,10,2024-12-27,Aceptada,,2025,12,Friday
216,33,2024-09-11,2024-09-27,17,2024-07-30,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,7,Tuesday
217,99,2024-12-24,2025-01-04,12,2024-10-02,Aceptada,,2024,10,Wednesday
218,3,2024-08-02,2024-08-09,8,2024-07-22,Aceptada,,2024,7,Monday
219,110,2024-09-17,2024-09-28,12,2024-07-18,Aceptada,,2024,7,Thursday
220,10,2024-08-03,2024-08-06,4,2024-07-04,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2024,7,Thursday
221,107,2025-02-14,2025-02-17,4,2025-01-01,Aceptada,,2025,1,Wednesday
222,11,2024-06-15,2024-06-17,3,2024-05-03,Aceptada,,2024,5,Friday
223,145,2025-06-04,2025-06-07,4,2025-03-26,Aceptada,,2025,3,Wednesday
224,40,2025-02-07,2025-02-15,9,2024-11-13,Aceptada,,2025,11,Wednesday
225,102,2024-05-04,2024-05-15,12,2024-04-25,Aceptada,,2024,4,Thursday
226,15,2024-12-17,2024-12-26,10,2024-10-22,Aceptada,,2024,10,Tuesday
227,141,2024-09-18,2024-09-27,10,2024-07-30,Rechazada,No se cumple la antigüedad mínima de 12.0 meses.,2024,7,Tuesday
228,105,2024-09-06,2024-09-09,4,2024-08-03,Aceptada,,2024,8,Saturday
229,51,2024-09-17,2024-09-23,7,2024-08-28,Aceptada,,2024,8,Wednesday
230,113,2025-01-01,2025-01-11,11,2024-11-13,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,11,Wednesday
231,82,2024-05-10,2024-05-14,5,2024-04-30,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,4,Tuesday
232,21,2024-11-11,2024-11-17,7,2024-09-06,Aceptada,,2024,9,Friday
233,78,2024-11-29,2024-12-08,10,2024-09-24,Aceptada,,2024,9,Tuesday
234,21,2025-03-01,2025-03-13,13,2025-02-15,Aceptada,,2025,2,Saturday
235,18,2024-12-07,2024-12-16,10,2024-10-28,Aceptada,,2024,10,Monday
236,83,2024-06-06,2024-06-23,18,2024-06-01,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,6,Saturday
237,38,2024-12-26,2025-01-05,11,2024-12-14,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,12,Saturday
238,116,2024-09-13,2024-09-30,18,2024-07-25,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2024,7,Thursday
239,85,2024-11-28,2024-12-10,13,2024-11-22,Aceptada,,2024,11,Friday
240,11,2025-02-23,2025-03-12,18,2025-01-28,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2025,1,Tuesday
241,145,2024-07-21,2024-07-28,8,2024-06-19,Aceptada,,2024,6,Wednesday
242,68,2024-06-07,2024-06-20,14,2024-05-09,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,5,Thursday
243,98,2024-11-01,2024-11-20,20,2024-09-13,Rechazada,Duración de vacaciones excede el límite permitido de 18 días.,2024,9,Friday
244,112,2024-10-02,2024-10-08,7,2024-07-08,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2024,7,Monday
245,55,2024-09-07,2024-09-10,4,2024-07-09,Aceptada,,2024,7,Tuesday
246,58,2024-09-24,2024-10-04,11,2024-06-29,Aceptada,,2024,6,Saturday
247,122,2024-07-27,2024-08-03,8,2024-05-04,Aceptada,,2024,5,Saturday
248,95,2024-10-17,2024-10-19,3,2024-09-23,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Monday
249,68,2025-04-15,2025-04-23,9,2025-03-23,Aceptada,,2025,3,Sunday
250,146,2024-06-13,2024-06-30,18,2024-06-04,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2024,6,Tuesday
251,4,2024-07-11,2024-07-14,4,2024-05-05,Aceptada,,2024,5,Sunday
252,129,2024-07-13,2024-08-01,20,2024-06-07,Aceptada,,2024,6,Friday
253,112,2024-11-12,2024-11-24,13,2024-09-13,Rechazada,Se supera el número máximo de 3.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Friday
254,150,2025-04-26,2025-04-26,1,2025-03-22,Aceptada,,2025,3,Saturday
255,114,2025-02-21,2025-02-25,5,2024-12-05,Aceptada,,2025,12,Thursday
256,137,2025-02-09,2025-02-26,18,2024-12-02,Rechazada,Duración de vacaciones excede el límite permitido de 15 días.,2025,12,Monday
257,67,2024-10-04,2024-10-22,19,2024-09-09,Rechazada,Se supera el número máximo de 1.0 empleados de vacaciones simultáneamente en el departamento.,2024,9,Monday
258,88,2025-06-04,2025-06-09,6,2025-03-16,Aceptada,,2025,3,Sunday
259,44,2025-05-28,2025-06-15,19,2025-04-14,Rechazada,Duración de vacaciones excede el límite permitido de 10 días.,2025,4,Monday
